"","Method","Participant","Day","Metric","Trial","Value"
"672","TRAD","P32","D2","Net Peak Vertical Force [N]","Trial 3",2048.05305826366
"673","SHORT","P6","D1","Net Force at 100ms [N]","Trial 1",630.893255664408
"674","SHORT","P24","D1","Net Force at 100ms [N]","Trial 2",483.43144694576
"675","SHORT","P17","D1","Net Force at 100ms [N]","Trial 3",139.693391381763
"676","SHORT","P22","D1","Net Force at 100ms [N]","Trial 4",597.805034821155
"677","SHORT","P30","D1","Net Force at 100ms [N]","Trial 5",729.318942327471
"678","SHORT","P2","D1","Net Peak Vertical Force [N]","Trial 1",1939.8253532934
"679","SHORT","P15","D1","Net Peak Vertical Force [N]","Trial 2",2030.09906304851
"680","SHORT","P13","D1","Net Peak Vertical Force [N]","Trial 3",2009.41132152826
"681","SHORT","P16","D1","Net Peak Vertical Force [N]","Trial 4",1950.51421118374
"682","SHORT","P18","D1","Net Peak Vertical Force [N]","Trial 5",1916.00857062005
"683","TRAD","P8","D1","Net Force at 100ms [N]","Trial 1",995.051249023527
"684","TRAD","P31","D1","Net Force at 100ms [N]","Trial 2",641.148686862784
"685","TRAD","P3","D1","Net Force at 100ms [N]","Trial 3",418.718332016375
"686","TRAD","P3","D1","Net Peak Vertical Force [N]","Trial 1",2457.77529281089
"687","TRAD","P26","D1","Net Peak Vertical Force [N]","Trial 2",2149.99920319319
"688","TRAD","P24","D1","Net Peak Vertical Force [N]","Trial 3",2421.27181655634
"689","SHORT","P32","D2","Net Force at 100ms [N]","Trial 1",321.61698236838
"690","SHORT","P18","D2","Net Force at 100ms [N]","Trial 2",721.244098509848
"691","SHORT","P16","D2","Net Force at 100ms [N]","Trial 3",501.667706786795
"692","SHORT","P21","D2","Net Force at 100ms [N]","Trial 4",701.760674998723
"693","SHORT","P18","D2","Net Force at 100ms [N]","Trial 5",473.355304081924
"694","SHORT","P25","D2","Net Peak Vertical Force [N]","Trial 1",1764.51036360115
"695","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 2",1928.58784446996
"696","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 3",2236.78305698698
"697","SHORT","P27","D2","Net Peak Vertical Force [N]","Trial 4",2006.89167888416
"698","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 5",2134.96528152935
"699","TRAD","P29","D2","Net Force at 100ms [N]","Trial 1",184.702558273822
"700","TRAD","P25","D2","Net Force at 100ms [N]","Trial 2",221.014904049505
"701","TRAD","P15","D2","Net Force at 100ms [N]","Trial 3",383.192487599328
"702","TRAD","P26","D2","Net Peak Vertical Force [N]","Trial 1",2444.71136512877
"703","TRAD","P25","D2","Net Peak Vertical Force [N]","Trial 2",2380.68351371554
"704","TRAD","P9","D2","Net Peak Vertical Force [N]","Trial 3",2632.67867778786
"705","SHORT","P32","D1","Net Force at 100ms [N]","Trial 1",232.779948724108
"706","SHORT","P14","D1","Net Force at 100ms [N]","Trial 2",213.695773543557
"707","SHORT","P8","D1","Net Force at 100ms [N]","Trial 3",331.21614891761
"708","SHORT","P13","D1","Net Force at 100ms [N]","Trial 4",389.239308565855
"709","SHORT","P3","D1","Net Force at 100ms [N]","Trial 5",381.004740223009
"710","SHORT","P30","D1","Net Peak Vertical Force [N]","Trial 1",2182.0608241722
"711","SHORT","P31","D1","Net Peak Vertical Force [N]","Trial 2",2198.14354986423
"712","SHORT","P13","D1","Net Peak Vertical Force [N]","Trial 3",2087.30191092789
"713","SHORT","P32","D1","Net Peak Vertical Force [N]","Trial 4",2127.82652117638
"714","SHORT","P25","D1","Net Peak Vertical Force [N]","Trial 5",1920.89999312535
"715","TRAD","P21","D1","Net Force at 100ms [N]","Trial 1",189.448822792526
"716","TRAD","P22","D1","Net Force at 100ms [N]","Trial 2",278.423317002691
"717","TRAD","P10","D1","Net Force at 100ms [N]","Trial 3",254.669107921422
"718","TRAD","P23","D1","Net Peak Vertical Force [N]","Trial 1",1812.45798659869
"719","TRAD","P8","D1","Net Peak Vertical Force [N]","Trial 2",1979.10476917904
"720","TRAD","P24","D1","Net Peak Vertical Force [N]","Trial 3",2106.70123895602
"721","SHORT","P31","D2","Net Force at 100ms [N]","Trial 1",79.3840782217681
"722","SHORT","P7","D2","Net Force at 100ms [N]","Trial 2",272.116157355951
"723","SHORT","P25","D2","Net Force at 100ms [N]","Trial 3",100.933041809313
"724","SHORT","P19","D2","Net Force at 100ms [N]","Trial 4",328.038286209106
"725","SHORT","P27","D2","Net Force at 100ms [N]","Trial 5",359.092129120231
"726","SHORT","P9","D2","Net Peak Vertical Force [N]","Trial 1",2114.78989333631
"727","SHORT","P20","D2","Net Peak Vertical Force [N]","Trial 2",2050.20052329116
"728","SHORT","P23","D2","Net Peak Vertical Force [N]","Trial 3",2186.41382179419
"729","SHORT","P12","D2","Net Peak Vertical Force [N]","Trial 4",2069.18652729876
"730","SHORT","P31","D2","Net Peak Vertical Force [N]","Trial 5",1904.13690254558
"731","TRAD","P9","D2","Net Force at 100ms [N]","Trial 1",212.262145336717
"732","TRAD","P3","D2","Net Force at 100ms [N]","Trial 2",244.522776310891
"733","TRAD","P15","D2","Net Force at 100ms [N]","Trial 3",166.41784230019
"734","TRAD","P29","D2","Net Peak Vertical Force [N]","Trial 1",2300.96487468816
"735","TRAD","P18","D2","Net Peak Vertical Force [N]","Trial 2",2705.90378913526
"736","TRAD","P27","D2","Net Peak Vertical Force [N]","Trial 3",2486.24148617559
"737","SHORT","P29","D1","Net Force at 100ms [N]","Trial 1",263.06912510097
"738","SHORT","P30","D1","Net Force at 100ms [N]","Trial 2",182.089646197297
"739","SHORT","P10","D1","Net Force at 100ms [N]","Trial 3",347.549098355323
"740","SHORT","P20","D1","Net Force at 100ms [N]","Trial 4",273.431158867665
"741","SHORT","P22","D1","Net Force at 100ms [N]","Trial 5",316.902532614861
"742","SHORT","P17","D1","Net Peak Vertical Force [N]","Trial 1",1604.08718557036
"743","SHORT","P28","D1","Net Peak Vertical Force [N]","Trial 2",1488.91182144308
"744","SHORT","P10","D1","Net Peak Vertical Force [N]","Trial 3",1648.64984101243
"745","SHORT","P3","D1","Net Peak Vertical Force [N]","Trial 4",1797.85760021433
"746","SHORT","P3","D1","Net Peak Vertical Force [N]","Trial 5",1715.12415097952
"747","TRAD","P24","D1","Net Force at 100ms [N]","Trial 1",366.609289444238
"748","TRAD","P3","D1","Net Force at 100ms [N]","Trial 2",177.611770344991
"749","TRAD","P12","D1","Net Force at 100ms [N]","Trial 3",447.274672200903
"750","TRAD","P2","D1","Net Peak Vertical Force [N]","Trial 1",1364.62198864277
"751","TRAD","P14","D1","Net Peak Vertical Force [N]","Trial 2",1685.49710592739
"752","TRAD","P21","D1","Net Peak Vertical Force [N]","Trial 3",1392.37226996692
"753","SHORT","P13","D2","Net Force at 100ms [N]","Trial 1",426.682519087009
"754","SHORT","P8","D2","Net Force at 100ms [N]","Trial 2",384.651776918676
"755","SHORT","P20","D2","Net Force at 100ms [N]","Trial 3",303.443125209305
"756","SHORT","P30","D2","Net Force at 100ms [N]","Trial 4",254.770216033515
"757","SHORT","P3","D2","Net Force at 100ms [N]","Trial 5",294.541538643744
"758","SHORT","P25","D2","Net Peak Vertical Force [N]","Trial 1",1323.52304779524
"759","SHORT","P10","D2","Net Peak Vertical Force [N]","Trial 2",1736.49599711783
"760","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 3",1556.17153831646
"761","SHORT","P14","D2","Net Peak Vertical Force [N]","Trial 4",1430.71932185255
"762","SHORT","P10","D2","Net Peak Vertical Force [N]","Trial 5",1348.12997295223
"763","TRAD","P18","D2","Net Force at 100ms [N]","Trial 1",314.840379495407
"764","TRAD","P26","D2","Net Force at 100ms [N]","Trial 2",136.921541388519
"765","TRAD","P2","D2","Net Force at 100ms [N]","Trial 3",115.206192551181
"766","TRAD","P32","D2","Net Peak Vertical Force [N]","Trial 1",1674.74784026071
"767","TRAD","P21","D2","Net Peak Vertical Force [N]","Trial 2",1503.12624357012
"768","TRAD","P20","D2","Net Peak Vertical Force [N]","Trial 3",1557.91688288888
"769","SHORT","P16","D1","Net Force at 100ms [N]","Trial 1",500.892549205944
"770","SHORT","P19","D1","Net Force at 100ms [N]","Trial 2",385.145632028533
"771","SHORT","P15","D1","Net Force at 100ms [N]","Trial 3",191.809084401513
"772","SHORT","P31","D1","Net Force at 100ms [N]","Trial 4",525.758486139774
"773","SHORT","P8","D1","Net Force at 100ms [N]","Trial 5",331.34789266102
"774","SHORT","P16","D1","Net Peak Vertical Force [N]","Trial 1",2546.6237708455
"775","SHORT","P16","D1","Net Peak Vertical Force [N]","Trial 2",2937.41326832497
"776","SHORT","P4","D1","Net Peak Vertical Force [N]","Trial 3",2834.26670350544
"777","SHORT","P11","D1","Net Peak Vertical Force [N]","Trial 4",2639.06976076774
"778","SHORT","P32","D1","Net Peak Vertical Force [N]","Trial 5",2665.68150067027
"779","TRAD","P32","D1","Net Force at 100ms [N]","Trial 1",544.429460312612
"780","TRAD","P23","D1","Net Force at 100ms [N]","Trial 2",752.789003262483
"781","TRAD","P13","D1","Net Force at 100ms [N]","Trial 3",231.970893932134
"782","TRAD","P25","D1","Net Peak Vertical Force [N]","Trial 1",2588.21207598248
"783","TRAD","P7","D1","Net Peak Vertical Force [N]","Trial 2",2720.3742915872
"784","TRAD","P8","D1","Net Peak Vertical Force [N]","Trial 3",3138.23306279248
"785","SHORT","P12","D2","Net Force at 100ms [N]","Trial 1",481.87882122444
"786","SHORT","P26","D2","Net Force at 100ms [N]","Trial 2",579.340026532765
"787","SHORT","P30","D2","Net Force at 100ms [N]","Trial 3",568.168186433613
"788","SHORT","P11","D2","Net Force at 100ms [N]","Trial 4",359.268247313797
"789","SHORT","P13","D2","Net Force at 100ms [N]","Trial 5",422.441731788358
"790","SHORT","P25","D2","Net Peak Vertical Force [N]","Trial 1",2218.91805055323
"791","SHORT","P28","D2","Net Peak Vertical Force [N]","Trial 2",2416.55124246581
"792","SHORT","P13","D2","Net Peak Vertical Force [N]","Trial 3",2235.73080134038
"793","SHORT","P6","D2","Net Peak Vertical Force [N]","Trial 4",2220.30969512053
"794","SHORT","P4","D2","Net Peak Vertical Force [N]","Trial 5",2165.10855894135
"795","TRAD","P19","D2","Net Force at 100ms [N]","Trial 1",605.130815239344
"796","TRAD","P13","D2","Net Force at 100ms [N]","Trial 2",309.190221802332
"797","TRAD","P28","D2","Net Force at 100ms [N]","Trial 3",51.0363120127004
"798","TRAD","P11","D2","Net Peak Vertical Force [N]","Trial 1",2872.33991484931
"799","TRAD","P23","D2","Net Peak Vertical Force [N]","Trial 2",2872.16281225886
"800","TRAD","P2","D2","Net Peak Vertical Force [N]","Trial 3",2990.5864333529
"801","SHORT","P19","D1","Net Force at 100ms [N]","Trial 1",452.582565859798
"802","SHORT","P9","D1","Net Force at 100ms [N]","Trial 2",244.985050143907
"803","SHORT","P20","D1","Net Force at 100ms [N]","Trial 3",524.992407396436
"804","SHORT","P9","D1","Net Force at 100ms [N]","Trial 4",453.958961146418
"805","SHORT","P31","D1","Net Force at 100ms [N]","Trial 5",548.043562352285
"806","SHORT","P18","D1","Net Peak Vertical Force [N]","Trial 1",1840.57520234212
"807","SHORT","P8","D1","Net Peak Vertical Force [N]","Trial 2",1963.29421414156
"808","SHORT","P4","D1","Net Peak Vertical Force [N]","Trial 3",2038.30428170813
"809","SHORT","P11","D1","Net Peak Vertical Force [N]","Trial 4",1830.54490344264
"810","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 5",2123.38662310503
"811","TRAD","P19","D1","Net Force at 100ms [N]","Trial 1",377.25842080079
"812","TRAD","P6","D1","Net Force at 100ms [N]","Trial 2",442.006641199766
"813","TRAD","P31","D1","Net Force at 100ms [N]","Trial 3",216.361031115521
"814","TRAD","P7","D1","Net Peak Vertical Force [N]","Trial 1",1882.33709408669
"815","TRAD","P15","D1","Net Peak Vertical Force [N]","Trial 2",1847.88190958276
"816","TRAD","P14","D1","Net Peak Vertical Force [N]","Trial 3",2103.45058489898
"817","SHORT","P7","D2","Net Force at 100ms [N]","Trial 1",568.099307242036
"818","SHORT","P32","D2","Net Force at 100ms [N]","Trial 2",476.385550569417
"819","SHORT","P12","D2","Net Force at 100ms [N]","Trial 3",480.617050775699
"820","SHORT","P5","D2","Net Force at 100ms [N]","Trial 4",160.771036791243
"821","SHORT","P19","D2","Net Force at 100ms [N]","Trial 5",484.415081657097
"822","SHORT","P29","D2","Net Peak Vertical Force [N]","Trial 1",2231.41773951328
"823","SHORT","P15","D2","Net Peak Vertical Force [N]","Trial 2",2176.46269628778
"824","SHORT","P28","D2","Net Peak Vertical Force [N]","Trial 3",2339.06405655639
"825","SHORT","P24","D2","Net Peak Vertical Force [N]","Trial 4",2025.07650755905
"826","SHORT","P14","D2","Net Peak Vertical Force [N]","Trial 5",2269.37783152759
"827","TRAD","P8","D2","Net Force at 100ms [N]","Trial 1",267.077616829332
"828","TRAD","P6","D2","Net Force at 100ms [N]","Trial 2",117.744337445777
"829","TRAD","P17","D2","Net Force at 100ms [N]","Trial 3",208.071929623978
"830","TRAD","P6","D2","Net Peak Vertical Force [N]","Trial 1",2108.81767314412
"831","TRAD","P8","D2","Net Peak Vertical Force [N]","Trial 2",2023.82667019907
"832","TRAD","P15","D2","Net Peak Vertical Force [N]","Trial 3",2043.13410841264
"833","SHORT","P26","D1","Net Force at 100ms [N]","Trial 1",623.552251487784
"834","SHORT","P1","D1","Net Force at 100ms [N]","Trial 2",348.649680839851
"835","SHORT","P23","D1","Net Force at 100ms [N]","Trial 3",383.40929773869
"836","SHORT","P5","D1","Net Force at 100ms [N]","Trial 4",222.058412406314
"837","SHORT","P10","D1","Net Force at 100ms [N]","Trial 5",223.377266435232
"838","SHORT","P19","D1","Net Peak Vertical Force [N]","Trial 1",1472.60555485636
"839","SHORT","P21","D1","Net Peak Vertical Force [N]","Trial 2",1313.65330764651
"840","SHORT","P24","D1","Net Peak Vertical Force [N]","Trial 3",1574.3533578217
"841","SHORT","P24","D1","Net Peak Vertical Force [N]","Trial 4",1117.58993366808
"842","SHORT","P11","D1","Net Peak Vertical Force [N]","Trial 5",1326.74864000431
"843","TRAD","P30","D1","Net Force at 100ms [N]","Trial 1",248.159456077963
"844","TRAD","P9","D1","Net Force at 100ms [N]","Trial 2",479.420785829378
"845","TRAD","P23","D1","Net Force at 100ms [N]","Trial 3",309.821831209911
"846","TRAD","P2","D1","Net Peak Vertical Force [N]","Trial 1",1057.62070651632
"847","TRAD","P29","D1","Net Peak Vertical Force [N]","Trial 2",1077.94108023578
"848","TRAD","P31","D1","Net Peak Vertical Force [N]","Trial 3",1179.71305565955
"849","SHORT","P30","D2","Net Force at 100ms [N]","Trial 1",114.554917322751
"850","SHORT","P12","D2","Net Force at 100ms [N]","Trial 2",391.76542957183
"851","SHORT","P32","D2","Net Force at 100ms [N]","Trial 3",558.021848008968
"852","SHORT","P18","D2","Net Force at 100ms [N]","Trial 4",134.412983980589
"853","SHORT","P9","D2","Net Force at 100ms [N]","Trial 5",119.306077633891
"854","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 1",1352.97159890402
"855","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 2",1509.6325150047
"856","SHORT","P2","D2","Net Peak Vertical Force [N]","Trial 3",1302.5845582427
"857","SHORT","P18","D2","Net Peak Vertical Force [N]","Trial 4",1506.90195913911
"858","SHORT","P9","D2","Net Peak Vertical Force [N]","Trial 5",1529.76232481329
"859","TRAD","P17","D2","Net Force at 100ms [N]","Trial 1",153.680109376088
"860","TRAD","P4","D2","Net Force at 100ms [N]","Trial 2",312.150971343741
"861","TRAD","P31","D2","Net Force at 100ms [N]","Trial 3",401.24963302277
"862","TRAD","P25","D2","Net Peak Vertical Force [N]","Trial 1",1010.13264154689
"863","TRAD","P1","D2","Net Peak Vertical Force [N]","Trial 2",1133.15320540881
"864","TRAD","P16","D2","Net Peak Vertical Force [N]","Trial 3",1312.6631582283
"865","SHORT","P26","D1","Net Force at 100ms [N]","Trial 1",441.029477857053
"866","SHORT","P5","D1","Net Force at 100ms [N]","Trial 2",668.0480898018
"867","SHORT","P14","D1","Net Force at 100ms [N]","Trial 3",619.229696728289
"868","SHORT","P32","D1","Net Force at 100ms [N]","Trial 4",655.547625872959
"869","SHORT","P28","D1","Net Force at 100ms [N]","Trial 5",449.712881961837
"870","SHORT","P24","D1","Net Peak Vertical Force [N]","Trial 1",1315.68889441984
"871","SHORT","P14","D1","Net Peak Vertical Force [N]","Trial 2",1383.50827100454
"872","SHORT","P14","D1","Net Peak Vertical Force [N]","Trial 3",1446.08957987786
"873","SHORT","P15","D1","Net Peak Vertical Force [N]","Trial 4",1392.47172502745
"874","SHORT","P7","D1","Net Peak Vertical Force [N]","Trial 5",1529.26603402663
"875","TRAD","P16","D1","Net Force at 100ms [N]","Trial 1",350.777057125652
"876","TRAD","P13","D1","Net Force at 100ms [N]","Trial 2",348.932463573059
"877","TRAD","P18","D1","Net Force at 100ms [N]","Trial 3",426.430418564472
"878","TRAD","P18","D1","Net Peak Vertical Force [N]","Trial 1",1350.5050055366
"879","TRAD","P22","D1","Net Peak Vertical Force [N]","Trial 2",1177.38971218537
"880","TRAD","P5","D1","Net Peak Vertical Force [N]","Trial 3",1223.6228208459
"881","SHORT","P20","D2","Net Force at 100ms [N]","Trial 1",269.725048406981
"882","SHORT","P18","D2","Net Force at 100ms [N]","Trial 2",424.461939497665
"883","SHORT","P21","D2","Net Force at 100ms [N]","Trial 3",416.043429757049
"884","SHORT","P21","D2","Net Force at 100ms [N]","Trial 4",560.952869666554
"885","SHORT","P8","D2","Net Force at 100ms [N]","Trial 5",626.611636759713
"886","SHORT","P9","D2","Net Peak Vertical Force [N]","Trial 1",1114.15202623056
"887","SHORT","P6","D2","Net Peak Vertical Force [N]","Trial 2",1283.52845892305
"888","SHORT","P11","D2","Net Peak Vertical Force [N]","Trial 3",1403.18623408461
"889","SHORT","P26","D2","Net Peak Vertical Force [N]","Trial 4",1359.55949728265
"890","SHORT","P26","D2","Net Peak Vertical Force [N]","Trial 5",1267.4554028511
"891","TRAD","P26","D2","Net Force at 100ms [N]","Trial 1",311.949180342816
"892","TRAD","P24","D2","Net Force at 100ms [N]","Trial 2",301.050930085173
"893","TRAD","P16","D2","Net Force at 100ms [N]","Trial 3",303.022245381027
"894","TRAD","P30","D2","Net Peak Vertical Force [N]","Trial 1",1270.32997480519
"895","TRAD","P8","D2","Net Peak Vertical Force [N]","Trial 2",1199.04977098014
"896","TRAD","P18","D2","Net Peak Vertical Force [N]","Trial 3",1208.10365992654
"897","SHORT","P28","D1","Net Force at 100ms [N]","Trial 1",591.406696984172
"898","SHORT","P4","D1","Net Force at 100ms [N]","Trial 2",263.445643618051
"899","SHORT","P9","D1","Net Force at 100ms [N]","Trial 3",293.643564992119
"900","SHORT","P2","D1","Net Force at 100ms [N]","Trial 4",412.484084188938
"901","SHORT","P11","D1","Net Force at 100ms [N]","Trial 5",205.400013532955
"902","SHORT","P12","D1","Net Peak Vertical Force [N]","Trial 1",1444.14786578966
"903","SHORT","P1","D1","Net Peak Vertical Force [N]","Trial 2",1329.11132081919
"904","SHORT","P7","D1","Net Peak Vertical Force [N]","Trial 3",1570.7736834811
"905","SHORT","P26","D1","Net Peak Vertical Force [N]","Trial 4",1554.38999804673
"906","SHORT","P2","D1","Net Peak Vertical Force [N]","Trial 5",1413.18977930974
"907","TRAD","P2","D1","Net Force at 100ms [N]","Trial 1",249.994874969311
"908","TRAD","P15","D1","Net Force at 100ms [N]","Trial 2",451.980397760961
"909","TRAD","P28","D1","Net Force at 100ms [N]","Trial 3",323.211898875609
"910","TRAD","P2","D1","Net Peak Vertical Force [N]","Trial 1",1475.99278343506
"911","TRAD","P29","D1","Net Peak Vertical Force [N]","Trial 2",1732.2747306047
"912","TRAD","P16","D1","Net Peak Vertical Force [N]","Trial 3",1487.74552458897
"913","SHORT","P26","D2","Net Force at 100ms [N]","Trial 1",624.752377352025
"914","SHORT","P20","D2","Net Force at 100ms [N]","Trial 2",534.296632884163
"915","SHORT","P7","D2","Net Force at 100ms [N]","Trial 3",180.925705969334
"916","SHORT","P31","D2","Net Force at 100ms [N]","Trial 4",424.072320069652
"917","SHORT","P20","D2","Net Force at 100ms [N]","Trial 5",543.108137538098
"918","SHORT","P10","D2","Net Peak Vertical Force [N]","Trial 1",1626.38286096454
"919","SHORT","P12","D2","Net Peak Vertical Force [N]","Trial 2",1430.15291906409
"920","SHORT","P27","D2","Net Peak Vertical Force [N]","Trial 3",1280.85192615911
"921","SHORT","P20","D2","Net Peak Vertical Force [N]","Trial 4",1404.19241327997
"922","SHORT","P21","D2","Net Peak Vertical Force [N]","Trial 5",1431.83108627689
"923","TRAD","P22","D2","Net Force at 100ms [N]","Trial 1",386.953133768169
"924","TRAD","P6","D2","Net Force at 100ms [N]","Trial 2",105.864258329384
"925","TRAD","P6","D2","Net Force at 100ms [N]","Trial 3",98.1937290497124
"926","TRAD","P15","D2","Net Peak Vertical Force [N]","Trial 1",1357.66943125986
"927","TRAD","P23","D2","Net Peak Vertical Force [N]","Trial 2",1596.18920374187
"928","TRAD","P27","D2","Net Peak Vertical Force [N]","Trial 3",1461.34570816904
"929","SHORT","P23","D1","Net Force at 100ms [N]","Trial 1",314.569932122994
"930","SHORT","P23","D1","Net Force at 100ms [N]","Trial 2",592.221315197647
"931","SHORT","P12","D1","Net Force at 100ms [N]","Trial 3",551.118160215625
"932","SHORT","P13","D1","Net Force at 100ms [N]","Trial 4",982.490613928763
"933","SHORT","P15","D1","Net Force at 100ms [N]","Trial 5",1121.51454315102
"934","SHORT","P28","D1","Net Peak Vertical Force [N]","Trial 1",2302.62512642331
"935","SHORT","P9","D1","Net Peak Vertical Force [N]","Trial 2",2773.83819818255
"936","SHORT","P30","D1","Net Peak Vertical Force [N]","Trial 3",2639.14402268808
"937","SHORT","P13","D1","Net Peak Vertical Force [N]","Trial 4",2888.25786839519
"938","SHORT","P23","D1","Net Peak Vertical Force [N]","Trial 5",2725.55715427129
"939","TRAD","P25","D1","Net Force at 100ms [N]","Trial 1",581.118810232915
"940","TRAD","P23","D1","Net Force at 100ms [N]","Trial 2",652.883438221505
"941","TRAD","P8","D1","Net Force at 100ms [N]","Trial 3",444.321681040339
"942","TRAD","P19","D1","Net Peak Vertical Force [N]","Trial 1",3820.14963424299
"943","TRAD","P10","D1","Net Peak Vertical Force [N]","Trial 2",2911.02664674623
"944","TRAD","P17","D1","Net Peak Vertical Force [N]","Trial 3",3630.83151996732
"945","SHORT","P17","D2","Net Force at 100ms [N]","Trial 1",267.630915791495
"946","SHORT","P7","D2","Net Force at 100ms [N]","Trial 2",517.31490092813
"947","SHORT","P11","D2","Net Force at 100ms [N]","Trial 3",690.189323126106
"948","SHORT","P14","D2","Net Force at 100ms [N]","Trial 4",521.123937972821
"949","SHORT","P7","D2","Net Force at 100ms [N]","Trial 5",840.194750454556
"950","SHORT","P29","D2","Net Peak Vertical Force [N]","Trial 1",2487.14789464176
"951","SHORT","P28","D2","Net Peak Vertical Force [N]","Trial 2",2773.84413928189
"952","SHORT","P12","D2","Net Peak Vertical Force [N]","Trial 3",2750.79411543673
"953","SHORT","P26","D2","Net Peak Vertical Force [N]","Trial 4",2877.68808154464
"954","SHORT","P30","D2","Net Peak Vertical Force [N]","Trial 5",2558.06000300255
"955","TRAD","P12","D2","Net Force at 100ms [N]","Trial 1",605.446264076978
"956","TRAD","P22","D2","Net Force at 100ms [N]","Trial 2",706.501870174799
"957","TRAD","P8","D2","Net Force at 100ms [N]","Trial 3",538.543302137498
"958","TRAD","P24","D2","Net Peak Vertical Force [N]","Trial 1",3202.79772057538
"959","TRAD","P21","D2","Net Peak Vertical Force [N]","Trial 2",3060.44330146872
"960","TRAD","P6","D2","Net Peak Vertical Force [N]","Trial 3",3438.53407660201
"961","SHORT","P4","D1","Net Force at 100ms [N]","Trial 1",360.730567252683
"962","SHORT","P19","D1","Net Force at 100ms [N]","Trial 2",274.64839994926
"963","SHORT","P5","D1","Net Force at 100ms [N]","Trial 3",234.719864808395
"964","SHORT","P32","D1","Net Force at 100ms [N]","Trial 4",308.245930136181
"965","SHORT","P16","D1","Net Force at 100ms [N]","Trial 5",230.634309701063
"966","SHORT","P24","D1","Net Peak Vertical Force [N]","Trial 1",1279.63874483965
"967","SHORT","P20","D1","Net Peak Vertical Force [N]","Trial 2",1288.38757312596
"968","SHORT","P31","D1","Net Peak Vertical Force [N]","Trial 3",1393.22468419047
"969","SHORT","P29","D1","Net Peak Vertical Force [N]","Trial 4",1242.40715192668
"970","SHORT","P3","D1","Net Peak Vertical Force [N]","Trial 5",1265.08186722128
"971","TRAD","P10","D1","Net Force at 100ms [N]","Trial 1",297.757205145806
"972","TRAD","P17","D1","Net Force at 100ms [N]","Trial 2",276.14687666297
"973","TRAD","P16","D1","Net Force at 100ms [N]","Trial 3",381.526837236527
"974","TRAD","P6","D1","Net Peak Vertical Force [N]","Trial 1",1805.5587667672
"975","TRAD","P25","D1","Net Peak Vertical Force [N]","Trial 2",1907.89114997908
"976","TRAD","P23","D1","Net Peak Vertical Force [N]","Trial 3",2035.2439301583
"977","SHORT","P11","D2","Net Force at 100ms [N]","Trial 1",260.737634091638
"978","SHORT","P11","D2","Net Force at 100ms [N]","Trial 2",218.276982451743
"979","SHORT","P25","D2","Net Force at 100ms [N]","Trial 3",230.454493710492
"980","SHORT","P3","D2","Net Force at 100ms [N]","Trial 4",232.589082780294
"981","SHORT","P13","D2","Net Force at 100ms [N]","Trial 5",370.252992969751
"982","SHORT","P25","D2","Net Peak Vertical Force [N]","Trial 1",1490.05397135839
"983","SHORT","P11","D2","Net Peak Vertical Force [N]","Trial 2",1310.56202072315
"984","SHORT","P12","D2","Net Peak Vertical Force [N]","Trial 3",1177.9758891738
"985","SHORT","P24","D2","Net Peak Vertical Force [N]","Trial 4",1379.71492518596
"986","SHORT","P21","D2","Net Peak Vertical Force [N]","Trial 5",1328.96897670999
"987","TRAD","P14","D2","Net Force at 100ms [N]","Trial 1",341.356441454403
"988","TRAD","P23","D2","Net Force at 100ms [N]","Trial 2",363.984851491638
"989","TRAD","P22","D2","Net Force at 100ms [N]","Trial 3",291.901922004204
"990","TRAD","P31","D2","Net Peak Vertical Force [N]","Trial 1",1855.75824926109
"991","TRAD","P15","D2","Net Peak Vertical Force [N]","Trial 2",1636.06278319731
"992","TRAD","P30","D2","Net Peak Vertical Force [N]","Trial 3",1842.76725377049
"993","SHORT","P19","D1","Net Force at 100ms [N]","Trial 1",564.888913341612
"994","SHORT","P1","D1","Net Force at 100ms [N]","Trial 2",570.006359233102
"995","SHORT","P13","D1","Net Force at 100ms [N]","Trial 3",473.802332168911
"996","SHORT","P10","D1","Net Force at 100ms [N]","Trial 4",707.752238088613
"997","SHORT","P29","D1","Net Force at 100ms [N]","Trial 5",628.917991160229
"998","SHORT","P16","D1","Net Peak Vertical Force [N]","Trial 1",1569.46561151482
"999","SHORT","P27","D1","Net Peak Vertical Force [N]","Trial 2",1651.32259361297
"1000","SHORT","P26","D1","Net Peak Vertical Force [N]","Trial 3",1630.14985739719
"1001","SHORT","P2","D1","Net Peak Vertical Force [N]","Trial 4",1844.9458721451
"1002","SHORT","P9","D1","Net Peak Vertical Force [N]","Trial 5",1709.94909894699
"1003","TRAD","P27","D1","Net Force at 100ms [N]","Trial 1",351.058524878696
"1004","TRAD","P17","D1","Net Force at 100ms [N]","Trial 2",365.871578977862
"1005","TRAD","P4","D1","Net Force at 100ms [N]","Trial 3",475.375678767916
"1006","TRAD","P1","D1","Net Peak Vertical Force [N]","Trial 1",1388.67410071492
"1007","TRAD","P8","D1","Net Peak Vertical Force [N]","Trial 2",1356.04941604133
